,image,words,OCR_score
45,among (49).jpg,"[[], []]",0.0
47,among (67).jpg,"[['emergewcn'], [0.8580133318901062]]",0.0
50,among (51).jpg,"[['rpmong us'], [0.9054081439971924]]",0.0
94,among (92).jpg,"[['free', 'shipping', ' '], [0.9953958988189697, 0.9975179433822632, 0.6397156715393066]]",0.0
55,among (40).jpg,"[[], []]",0.0
95,among (101).jpg,"[[], []]",0.0
81,among (86).jpg,"[['a'], [0.8747263550758362]]",0.0
93,among (98).jpg,"[[], []]",0.0
77,among (82).jpg,"[[], []]",0.0
70,among (76).jpg,"[[], []]",0.0
71,among (31).jpg,"[['press to make a sound'], [0.9968701601028442]]",0.0
73,among (78).jpg,"[[], []]",0.0
57,among (27).jpg,"[['20cm 7 8 inch ', '20cm 7  8 inch '], [0.9623761773109436, 0.9582113027572632]]",0.0
74,among (79).jpg,"[[], []]",0.0
1,among (4).jpg,"[['a', 'reversible '], [0.7003086805343628, 0.976691484451294]]",0.0
76,among (81).jpg,"[[], []]",0.0
78,among (83).jpg,"[[], []]",0.0
92,among (96).jpg,"[['among us figures set'], [0.9837744832038879]]",0.0
80,among (85).jpg,"[['c'], [0.5703853964805603]]",0.0
69,among (75).jpg,"[[], []]",0.0
85,among (89).jpg,"[['shhhhhhh '], [0.9825758337974548]]",0.0
87,among (90).jpg,"[[], []]",0.0
89,among (93).jpg,"[[], []]",0.0
90,among (94).jpg,"[['chenging', 'face'], [0.8924107551574707, 0.8574392795562744]]",0.0
91,among (95).jpg,"[['00'], [0.58191978931427]]",0.0
56,among (62).jpg,"[[], []]",0.0
138,among (144).jpg,"[[], []]",0.0
58,among (63).jpg,"[[], []]",0.0
11,among (16).jpg,"[[], []]",0.0
134,among (147).jpg,"[[], []]",0.0
114,among (123).jpg,"[[], []]",0.0
101,among (106).jpg,"[[], []]",0.0
5,among (9).jpg,"[[], []]",0.0
137,among (148).jpg,"[['among us figures set'], [0.9837744832038879]]",0.0
144,among (155).jpg,"[[], []]",0.0
142,among (152).jpg,"[['type a 12pcs among us', 'height 8 11cm'], [0.9985653162002563, 0.9929491877555847]]",0.0
105,among (111).jpg,"[[], []]",0.0
132,among (143).jpg,"[[], []]",0.0
136,among (136).jpg,"[[], []]",0.0
140,among (149).jpg,"[[], []]",0.0
141,among (150).jpg,"[[], []]",0.0
111,among (121).jpg,"[['1'], [0.9911068081855774]]",0.0
10,among (15).jpg,"[['flim'], [0.9328916668891907]]",0.0
109,among (120).jpg,"[[], []]",0.0
6,among (10).jpg,"[[], []]",0.0
115,among (126).jpg,"[[], []]",0.0
117,among (125).jpg,"[[], []]",0.0
59,among (48).jpg,"[[], []]",0.0
27,among (35).jpg,"[['lib'], [0.8962984681129456]]",0.0
60,among (60).jpg,"[[], []]",0.0
61,among (61).jpg,"[[], []]",0.0
62,among (53).jpg,"[[], []]",0.0
63,among (39).jpg,"[[], []]",0.0
64,among (44).jpg,"[[], []]",0.0
97,among (97).jpg,"[['among us figures set'], [0.9837744832038879]]",0.0
99,among (105).jpg,"[[], []]",0.0
129,among (129).jpg,"[[], []]",0.0
9,among (12).jpg,"[['changing', 'face'], [0.997020423412323, 0.9917978048324585]]",0.0
124,among (137).jpg,"[[], []]",0.0
8,among (21).jpg,"[[], []]",0.0
130,among (142).jpg,"[[], []]",0.0
122,among (135).jpg,"[['reversible ', 'reversible ', 'reversible ', 'reversible '], [0.9809234142303467, 0.9945202469825745, 0.9882602691650391, 0.9903051257133484]]",0.0
121,among (132).jpg,"[[], []]",0.0
131,among (128).jpg,"[['a'], [0.9989132881164551]]",0.0
119,among (124).jpg,"[[], []]",0.0
75,among (80).jpg,"[[], []]",0.0
